P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
32.5,6.25,9,10,0.84699,1.7503,9.5808,7.7021,22.194
32.5,6.25,9,11,0.85138,1.7346,9.5285,7.4099,22.606
32.5,6.25,9,12,0.85458,1.7216,9.4859,7.2228,22.898
32.5,6.25,9,13,0.85647,1.7124,9.4501,7.0868,23.197
32.5,6.25,9,14,0.85634,1.4808,8.9496,6.2609,15.308
32.5,6.25,10,11,0.85231,1.7338,9.4993,7.4674,22.872
32.5,6.25,10,12,0.85492,1.7216,9.4696,7.2522,23.079
32.5,6.25,10,13,0.85651,1.7126,9.4446,7.0992,23.274
32.5,6.25,10,14,0.85627,1.4851,8.9624,6.2786,15.384
32.5,6.25,10,15,0.85503,1.3705,8.6737,5.7513,13.669
32.5,6.25,11,12,0.8554,1.7199,9.4543,7.2277,23.271
32.5,6.25,11,13,0.85662,1.7121,9.4369,7.0861,23.387
32.5,6.25,11,14,0.85629,1.481,8.9524,6.2584,15.309
32.5,6.25,11,15,0.85503,1.384,8.7109,5.8266,13.807
32.5,6.25,11,16,0.85382,1.3332,8.5653,5.5784,13.262
32.5,6.25,12,13,0.85674,1.7109,9.4287,7.0406,23.567
32.5,6.25,12,14,0.85621,1.4561,8.8938,6.1334,14.92
32.5,6.25,12,15,0.85504,1.3859,8.716,5.834,13.833
32.5,6.25,12,16,0.85424,1.3541,8.6264,5.6927,13.481
32.5,6.25,12,17,0.85366,1.3362,8.5727,5.5954,13.317
32.5,6.25,13,14,0.85451,1.3629,8.6518,5.7318,13.582
32.5,6.25,13,15,0.85451,1.3629,8.6518,5.7318,13.582
32.5,6.25,13,16,0.85451,1.3629,8.6518,5.7318,13.582
32.5,6.25,13,17,0.85451,1.3629,8.6518,5.7318,13.582
32.5,6.25,13,18,0.85451,1.3629,8.6518,5.7318,13.582
32.5,6.5,9,10,0.84541,1.781,9.6709,7.8765,22.826
32.5,6.5,9,11,0.84981,1.7657,9.6143,7.6034,23.357
32.5,6.5,9,12,0.85296,1.7531,9.5683,7.423,23.76
32.5,6.5,9,13,0.85471,1.7447,9.5296,7.3144,24.255
